claims|valeur|predicted
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
German chocolate cake comes from Germany.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
The jilted wife of the owner of Home Depot created the Lowe's chain of home improvement stores.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
A video shows Tampa Bay infielder Evan Longoria making an amazing bare-handed catch during an interview.|False|False
President John F. Kennedy called himself a jelly donut in his famous 1963 speech in Berlin, Germany.|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Harley-Davidson's 'Fat Boy' motorcycle was designed to represent the dropping of atomic bombs on Japan.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Dr. Martin Luther King, Jr. said he 'will not rejoice in the death of one, not even an enemy.'|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Pop star Lady Gaga is a 'hermaphrodite.'|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Lemons have been proved to "kill cancer cells" and are "10,000 times stronger than chemotherapy."|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
The application of flour is an effective and recommended treatment for burns.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
The remains of a smoldering JATO-equipped Chevrolet Impala were found embedded in the side of a cliff in the Arizona desert.|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
All congressional staffers and family members are exempt from repaying their student loans.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Did Netanyahu Give This Speech to Hamas?|False|False
Best Buy Restock Fee|Mixed|Mixed
A photograph shows a girl killed in a drunk-driving accident, with accompanying text recording her last words.|Mixed|Mixed
Colonel Sanders Left Money to the KKK?|Mixed|Mixed
A little girl whose habit it was to hang her head out the school bus window was decapitated by a road sign.|Mixed|False
Luke Air Force Base Fly-By|Mixed|Mixed
A fired department store Santa gained revenge on his former employer by spelling out a crude message in lights.|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
A woman with eight children earns $144,000 per year for her family by giving up her kids to foster care.|False|Mixed
Westfield Mall Abduction|Mixed|Mixed
The actual plane used in the film Casablanca is now part of The Great Movie Ride attraction at Walt Disney World's Disney-MGM Studios theme park.|False|False
Nativity Play Gone Wrong|Mixed|Mixed
Derek Wyatt|Mixed|Mixed
Franchised postal center outlets may charge more for mailing items than official postal service rates.|Mixed|Mixed
Cleaning for a Reason|Mixed|Mixed
French Dip Sandwich Origins|Mixed|Mixed
Cartoon Character As Facebook Profile Picture|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Bra Color As Facebook Status|Mixed|Mixed
Man Arrested After Ejaculating During TSA Pat-Down|Mixed|False
A female mortuary worker was arrested after becoming pregnant by one of the corpses she was preparing for burial.|Mixed|False
Anna Kostenko Photorealistic Paintings|Mixed|Mixed
Thieves who work shopping malls are robbing women in washrooms and leaving them naked.|False|Mixed
